Aggregate Dataset,Released:,,20210218,Nursing Homes,,,,,,,,,,,,,Assisted Living,,,,,,,,,,,,,Uncategorized Long Term Care Facilities,,,,,,,,,,,,,Other Care Facilities,,,,,,,,,,,,
Date,State,,Data Type,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak,Resident Positives,Probable Resident Positives,Resident Deaths,Probable Resident Deaths,Staff Positives,Probable Staff Positives,Staff Deaths ,Probable Staff Deaths,Resident/Staff Positives,Probable Res/Staff Positives,Resident/Staff Deaths,Probable res/staff Deaths,Number of Facilities with Outbreak
20200521,AK,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,AL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1285,,,,828,,,,,,,,,,,,,,,,,,,,,
20200521,AR,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,330,,45,,197,,,,,,,,57,,,,,,,,,,,,,
20200521,AS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,AZ,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,61,,,,,,,,,,,,,
20200521,CA,,Aggregate,8400,,1497,,4824,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1997,,290,,
20200521,CO,,Aggregate,1205,420,311,102,840,505,1,,,,,,72,348,68,101,15,188,119,,,,,,,45,,,,,,,,,,,,,,381,73,141,15,251,114,,,,,,,29
20200521,CT,,Aggregate,6947,,1487,,,,,,,,,,,871,,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,DC,,Aggregate,584,,144,,172,,4,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,DE,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,542,,177,,,,,,,,,,27,,,,,,,,,,,,,
20200521,FL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1001,,211,,,,,,,,,,,,,
20200521,GA,,Aggregate,4701,,709,,1882,,,,,,,,239,,,,,,,,,,,,,,,,,,,,,,,,,,,639,,159,,344,,,,,,,,142
20200521,GU,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,HI,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,IA,,Aggregate,,,,,,,,,1543,,227,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,ID,,Aggregate,183,,150,,,,32,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,IL,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13216,,1959,,383,,,,,,,,,,,,,
20200521,IN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,3625,,732,,,,,,,,,,212,,,,,,,,,,,,,
20200521,KS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,611,,102,,25,,,,,,,,,,,,,
20200521,KY,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1061,,211,,488,,2,,,,,,103,,,,,,,,,,,,,
20200521,LA,,Aggregate,4084,,987,,1737,,,,,,,,278,,,,,,,,,,,,,,,,,,,,,,,,,,,526,,65,,,,,,,,,,86
20200521,MA,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19106,,3755,344,,,,,,,,,,,,,
20200521,MD,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5939,,1131,,2519,,12,,,,,,222
20200521,ME,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,MI,,Aggregate,"2,826",,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,MN,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,2308,,663,,,,,,,,,,238,,,,,,,,,,,,,
20200521,MO,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,840,,148,,,,,,,,,,82,,,,,,,,,,,,,
20200521,MP,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,MS,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,1590,,289,,,,,,,,,,98,,,,,,,,,,,,,
20200521,MT,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20200521,NC,,Aggregate,1946,,378,,805,,2,,,,,,83,,,,,,,,,,,,,,,,,,,,,,,,,,,308,,46,,97,,0,,,,,,25
20200521,ND,,Aggregate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
