statekey,state
AL,ALABAMA
AK,ALASKA
AS,AMERICANSAMOA
AZ,ARIZONA
AR,ARKANSAS
CA,CALIFORNIA
CO,COLORADO
CT,CONNECTICUT
DE,DELAWARE
DC,DISTRICTOFCOLUMBIA
FL,FLORIDA
GA,GEORGIA
GU,GUAM
HI,HAWAII
ID,IDAHO
IL,ILLINOIS
IN,INDIANA
IA,IOWA
KS,KANSAS
KY,KENTUCKY
LA,LOUISIANA
ME,MAINE
MD,MARYLAND
MA,MASSACHUSETTS
MI,MICHIGAN
MN,MINNESOTA
MS,MISSISSIPPI
MO,MISSOURI
MT,MONTANA
NE,NEBRASKA
NV,NEVADA
NH,NEWHAMPSHIRE
NJ,NEWJERSEY
NM,NEWMEXICO
NY,NEWYORK
NC,NORTHCAROLINA
ND,NORTHDAKOTA
MP,NORTHERNMARIANAISLANDS
OH,OHIO
OK,OKLAHOMA
OR,OREGON
PA,PENNSYLVANIA
PR,PUERTORICO
RI,RHODEISLAND
SC,SOUTHCAROLINA
SD,SOUTHDAKOTA
TN,TENNESSEE
TX,TEXAS
UT,UTAH
VT,VERMONT
VA,VIRGINIA
VI,VIRGINISLANDS
WA,WASHINGTON
WV,WESTVIRGINIA
WI,WISCONSIN
WY,WYOMING
